id,split,speaker,example_type,utterance,expected_route,alternate_routes,rationale
HC001,train,member,positive,Was the claim from my office visit received?,claims,,The member asks about a submitted claim.
HC002,train,provider,positive,Can you check the adjudication status for the claim we sent last week?,claims,,The provider asks about claim processing after submission.
HC003,train,member,positive,Why did the plan pay only part of my lab claim?,claims,benefits,The requested action is explaining payment on an existing claim.
HC004,train,provider,positive,How do we submit a corrected claim for this service?,claims,,The provider wants to correct a billed claim.
HC005,train,member,positive,Has my ambulance claim been adjusted yet?,claims,,The member asks about adjustment of an existing claim.
HC006,validation,provider,positive,Where can I find the remittance details for this claim?,claims,,Remittance details belong to claim payment administration.
HC007,validation,member,positive,The hospital bill was sent to the plan but I cannot see a claim,claims,,The request concerns receipt of a billed claim.
HC008,test,provider,positive,What documentation is missing from our pending claim?,claims,,The provider requests claim-processing information.
HC009,test,member,positive,Please reprocess the claim with the corrected billing code,claims,,The requested action is claim reprocessing rather than a formal appeal.
HC010,train,member,positive,Is my coverage active today?,eligibility,,The member asks whether enrollment is active.
HC011,train,provider,positive,Can you verify this patient's eligibility for the date of service?,eligibility,,The provider asks for date-specific eligibility.
HC012,train,member,positive,When did my plan eligibility begin?,eligibility,,The request concerns the enrollment effective date.
HC013,train,provider,positive,The eligibility response says inactive; can you confirm the member's status?,eligibility,,The provider wants enrollment status confirmed.
HC014,train,member,positive,Am I still enrolled after changing jobs?,eligibility,,The member asks whether enrollment continues.
HC015,validation,provider,positive,Please verify dependent eligibility for next Monday,eligibility,,The provider requests future-date enrollment verification.
HC016,validation,member,positive,Why does the portal say I am not eligible this month?,eligibility,,The question is about current eligibility status.
HC017,test,provider,positive,What is the member's coverage termination date?,eligibility,,The requested information is an eligibility end date.
HC018,test,member,positive,Can you confirm that my child was added to my plan?,eligibility,,The member asks whether dependent enrollment is active.
HC019,train,member,positive,Does my MRI need approval before I schedule it?,prior_authorization,,The member asks whether pre-service approval is required.
HC020,train,provider,positive,What is the status of the authorization request for physical therapy?,prior_authorization,,The provider asks about a pending pre-service authorization.
HC021,train,member,positive,My doctor sent the clinical notes for approval; were they received?,prior_authorization,,The action is checking documentation for an authorization.
HC022,train,provider,positive,How do I request prior approval for this procedure?,prior_authorization,,The provider wants to initiate an authorization.
HC023,train,member,positive,The pharmacy says my medication needs prior authorization,prior_authorization,pharmacy,The explicit requested workflow is preapproval despite the pharmacy context.
HC024,validation,provider,positive,Can we extend the approved dates on this authorization?,prior_authorization,,The provider wants an authorization-date change.
HC025,validation,member,positive,Has the health plan approved my upcoming surgery yet?,prior_authorization,,The member asks about pre-service approval status.
HC026,test,provider,positive,Where should I send additional records for the pending authorization?,prior_authorization,,The provider requests authorization-document submission instructions.
HC027,test,member,positive,The infusion center needs an authorization number before scheduling me,prior_authorization,infusion_therapy,Authorization is the blocking action even though infusion is mentioned.
HC028,train,member,positive,What is my deductible for outpatient care?,benefits,,The member asks about cost-sharing benefits.
HC029,train,provider,positive,Does this plan cover telehealth visits?,benefits,,The provider asks whether a service is covered.
HC030,train,member,positive,How many physical therapy visits does my plan allow?,benefits,,The question concerns a benefit limit.
HC031,train,provider,positive,Is this specialist in network under the member's plan?,benefits,,Network rules are benefit information.
HC032,train,member,positive,What will my copay be for urgent care?,benefits,,The member asks about plan cost share.
HC033,validation,provider,positive,Is home health included in this member's benefits?,benefits,,The provider asks about benefit coverage.
HC034,validation,member,positive,Why is this service excluded from my plan?,benefits,,The member asks about a coverage exclusion rather than a submitted claim.
HC035,test,provider,positive,What are the member's out-of-network benefits?,benefits,,The request concerns plan benefit rules.
HC036,test,member,positive,Does my plan pay for a second medical opinion?,benefits,,The member asks whether a service is covered.
HC037,train,member,positive,Is my medication on the formulary?,pharmacy,,The request concerns drug formulary status.
HC038,train,provider,positive,Which retail pharmacies can fill this prescription?,pharmacy,,The provider asks about the dispensing network.
HC039,train,member,positive,Why is my refill too soon?,pharmacy,,The member asks about a pharmacy refill edit.
HC040,train,provider,positive,Does the plan require a ninety-day mail-order supply?,pharmacy,,The request concerns pharmacy dispensing rules.
HC041,train,member,positive,Can the pharmacy fill a vacation override?,pharmacy,,The member requests a pharmacy override.
HC042,validation,provider,positive,What is the quantity limit for this medication?,pharmacy,,The provider asks about a pharmacy quantity limit.
HC043,validation,member,positive,The drugstore says my prescription is not covered by the pharmacy benefit,pharmacy,benefits,The immediate issue is pharmacy-benefit processing.
HC044,test,provider,positive,Can this prescription be transferred to a specialty pharmacy?,pharmacy,,The provider asks about pharmacy fulfillment.
HC045,test,member,positive,Where can I get a ninety-day refill filled?,pharmacy,,The member requests pharmacy dispensing information.
HC046,train,member,positive,Where will my infusion appointment take place?,infusion_therapy,,The member asks about the infusion site.
HC047,train,provider,positive,Can the infusion center schedule the next dose?,infusion_therapy,,The provider requests infusion scheduling.
HC048,train,member,positive,Has the medication been delivered to the infusion suite?,infusion_therapy,pharmacy,The action is coordinating delivery to the infusion site.
