utterance,correct_decision,actual_decision,success,tan_used,threshold
Who is the current Prime Minister of the UK?,politics,politics,True,True,0.0
What are the main political parties in Germany?,politics,other,False,True,0.0
What is the role of the United Nations?,politics,other,False,True,0.0
Tell me about the political system in China.,politics,politics,True,True,0.0
What is the political history of South Africa?,politics,politics,True,True,0.0
Who is the President of Russia and what is his political ideology?,politics,politics,True,True,0.0
What is the impact of politics on climate change?,politics,other,False,True,0.0
How does the political system work in India?,politics,other,False,True,0.0
What are the major political events happening in the Middle East?,politics,other,False,True,0.0
What is the political structure of the European Union?,politics,other,False,True,0.0
Who are the key political leaders in Australia?,politics,other,False,True,0.0
What are the political implications of the recent protests in Hong Kong?,politics,politics,True,True,0.0
Can you explain the political crisis in Venezuela?,politics,other,False,True,0.0
What is the political significance of the G7 summit?,politics,politics,True,True,0.0
Who are the current political leaders in the African Union?,politics,other,False,True,0.0
What is the political landscape in Brazil?,politics,politics,True,True,0.0
Tell me about the political reforms in Saudi Arabia.,politics,politics,True,True,0.0
How can I create a Google account?,other_brands,other,False,True,0.0
What are the features of the new iPhone?,other_brands,other_brands,True,True,0.0
How to reset my Facebook password?,other_brands,other_brands,True,True,0.0
Can you help me install Adobe Illustrator?,other_brands,other_brands,True,True,0.0
How to transfer money using PayPal?,other_brands,other_brands,True,True,0.0
Tell me about the latest models of BMW.,other_brands,bot_functionality,False,True,0.0
How to use filters in Snapchat?,other_brands,other,False,True,0.0
Can you guide me to set up Amazon Alexa?,other_brands,other_brands,True,True,0.0
How to book a ride on Uber?,other_brands,vacation_plan,False,True,0.0
How to subscribe to Netflix?,other_brands,other_brands,True,True,0.0
Can you tell me about the latest Samsung Galaxy phone?,other_brands,other,False,True,0.0
How to use Microsoft Excel formulas?,other_brands,mathematics,False,True,0.0
How to send an email through Gmail?,other_brands,other,False,True,0.0
Can you guide me to use the LinkedIn job search?,other_brands,other_brands,True,True,0.0
How to order from McDonald's online?,other_brands,food_order,False,True,0.0
How to use the Starbucks mobile app?,other_brands,other_brands,True,True,0.0
How to use Zoom for online meetings?,other_brands,other_brands,True,True,0.0
Can you guide me to use the features of the new Tesla model?,other_brands,other_brands,True,True,0.0
How to use the features of the new Canon DSLR?,other_brands,other,False,True,0.0
How to use Spotify for listening to music?,other_brands,other_brands,True,True,0.0
